english,sinhala
"Me, too.",මටත්.
Open up.,විවෘත කරන්න.
Perfect!,පරිපූර්ණ!
See you.,නැවත හමුවෙන්නම්.
Show me.,මට පෙනවන්න.
Shut up!,කට වහපන්!
Skip it.,එය මඟ හරින්න.
So long.,මෙතරම් කාලයක්.
Stop it.,එය නවත්වන්න.
Take it.,ගන්න.
Tell me.,මට කියන්න.
Tom ate.,ටොම් කෑවා.
Tom ran.,ටොම් දිව්වා.
Tom won.,ටොම් දිනා ගත්තා.
Wait up.,ඉන්න.
Wake up!,අවදි වන්න!
Wake up.,අවදි වන්න.
Wash up.,සෝදන්න.
We care.,අපි සැලකිලිමත්.
We know.,අපි දන්නවා.
We lost.,අපි පැරදුනා.
Welcome.,සාදරයෙන් පිළිගනිමු.
Who ate?,කවුද කෑවේ?
Who ran?,කවුද දුවන්නේ?
Who won?,කවුද දිනුවේ?
Why not?,ඇයි නැත්තේ?
You run.,ඔබ දුවනවා.
You won.,ඔබ දිනුම්.
Am I fat?,මම මහතද?
Ask them.,ඔවුන්ගෙන් අහන්න.
Back off!,අහකට වෙන්න!
Back off.,අහකට වෙන්න.
Be a man.,මිනිසෙකු වන්න.
Be brave.,නිර්භීත වෙන්න.
Be brief.,කෙටියෙන් කියන්න.
Be quiet.,නිශ්ශබ්ද වන්න.
Be still.,නිශ්චලව සිටින්න.
Call Tom.,ටොම් අමතන්න.
Cheer up!,නො කලකිරෙනු!
Cheer up.,නො කලකිරෙනු.
Cool off!,සිසිල් කරන්න!
Cuff him.,ඔහුව කාවිර කරන්න.
Don't go.,යන්න එපා.
Drive on.,ධාවනය කරන්න.
Find Tom.,ටොම් සොයා ගන්න.
Fix this.,මෙය නිවැරදි කරන්න.
Get away!,පලා යන්න!
Get down!,පහලට යන්න!
Get down.,පහලට යන්න.
Get lost!,මකබෑවිලා පලයන්!
Get lost.,මකබෑවිලා පලයන්.
Get real!,සැබෑ වන්න!
Get real.,සැබෑ වන්න.
Go ahead!,ඉදිරියට යන්න!
Go ahead.,ඉදිරියට යන්න.
Go on in.,ඇතුලට යන්න.
Good job!,හොඳ වැඩක්!
Grab Tom.,ටොම් ග්රාබ්.
Grab him.,ඔහුව අල්ලා ගන්න.
Have fun.,විනෝද වන්න.
He spoke.,ඔහු කතාකලා.
He tries.,ඔහු උත්සාහ කරයි.
Help Tom.,ටොම්ට උදව් කරන්න.
Help him.,ඔහුට උදව් කරන්න.
"Hi, guys.",ආයුබෝවන් සගයනි.
How cute!,කෙතරම් හුරුබුහුටි ද!
How deep?,කොපමණ ගැඹුරු ද?
Humor me.,මාව හාස්යය.
Hurry up.,ඉක්මන් කරන්න.
I agreed.,මම එකඟ වුණා.
I am fat.,මම මහතයි.
I am old.,මම වයසයි.
I ate it.,මම ඒක කෑවා.
I can go.,මට යන්න පුළුවන්.
I did OK.,මම හොඳින් කළා.
I did it.,එය කළේ මමයි.
I failed.,මම අසමත් වුණා.
I forgot.,මට අමතක වුණා.
I get by.,මට ලැබෙන්නේ.
I get it.,මට එය තේරෙනවා.
I got it.,මට එය තේරුණා.
I phoned.,මම දුරකථන ඇමතුමක් දුන්නා.
I refuse.,මම ප්රතික්ෂේප කරනවා.
I resign.,මම ඉල්ලා අස්වන්න.
I saw it.,මම ඒක දැක්කා.
I smiled.,මම සිනාසුණෙමි.
I stayed.,මම නතර වුණා.
I talked.,මම කතා කළා.
I use it.,මම එය භාවිතා කරමි.
I waited.,මම බලාගෙන හිටියා.
I'll pay.,මම ගෙවන්නම්.
I'm back.,මම ආවා.
I'm bald.,මම තට්ට.
I'm calm.,මම සන්සුන්යි.
I'm cool.,මම නියමයි.
I'm done.,මම කරලා ඉවරයි.
I'm easy.,මට පහසුයි.
I'm fair.,මම සාධාරණයි.
I'm fine.,මම සනීපෙන්.
I'm free!,මම නිදහස්!
I'm free.,මම නිදහස්.
I'm full.,මම සම්පූර්ණයි.
I'm here.,මම මෙහේ.
I'm home.,මම Home.
I'm hurt.,මගේ හිත රිදුනා.
I'm late.,මම ප්රමාදයි.
I'm lazy.,මම කම්මැලි.
I'm lost.,මම අතරමං වෙලා.
I'm mean.,මම කිව්වේ.
I'm next.,මම ඊළඟට.
I'm okay.,මම හොඳින්.
I'm poor.,මම දුප්පත්.
I'm rich.,මම පොහොසත්.
I'm safe.,මම ආරක්ෂිතයි.
I'm sick.,මම එපා වෙලා.
I'm thin.,මම සිහින්.
I'm tidy.,මම පිළිවෙලට.
I'm warm.,මම උණුසුම්.
I'm weak.,මම දුර්වලයි.
I'm wise.,මම බුද්ධිමත්.
I've won.,මම දිනුවා.
It helps.,එය උපකාරී වේ.
It hurts.,එය වේදනා දෙයි.
It works.,එය වැඩ කරනවා.
It's Tom.,ඒ ටොම්.
It's fun.,එය විනෝදජනකයි.
It's his.,ඒ ඔහුගේ ය.
It's new.,එය අලුත් ය.
It's odd.,එය අමුතුයි.
It's old.,එය පැරණි ය.
It's red.,එය රතු ය.
It's sad.,ඒක කනගාටුයි.
Keep out!,ඉන්න!
Keep out.,දිගටම කරගෙන යන්න.
Kiss Tom.,ටොම් සිපගන්න.
Leave it.,එය අත්හරින්න.
Leave me.,මාව අතහරින්න.
Leave us.,අපිව දාලා යන්න.
Let's go!,අපි යමු!
Look out!,ප්රවේසම් වන්න!
Marry me.,මාව බඳින්න.
May I go?,මම යන්නද?
Save Tom.,ටොම් බේරා ගන්න.
She came.,ඇය ආවා.
She died.,ඇය මැරුණා.
She runs.,ඇය දුවයි.
Sit down!,ඉඳ ගන්න!
Sit down.,ඉඳ ගන්න.
Sit here.,මෙහි වාඩි වෙන්න.
Speak up!,කතා කරන්න!
Stand by.,සුදානමින් සිටීම.
Stand up!,කෙළින් සිටින!
Stay put.,රැඳී සිටින්න.
Stop Tom.,ටොම් නවත්වන්න.
Take Tom.,ටොම් ගන්න.
Tell Tom.,ටොම්ට කියන්න.
Terrific!,භයානක!
They won.,ඔවුන් දිනුවා.
Tom came.,ටොම් ආවා.
Tom died.,ටොම් මිය ගියේය.
Tom fell.,ටොම් වැටුණා.
Tom knew.,ටොම් දැන සිටියේය.
Tom left.,ටොම් වමට.
Tom lied.,ටොම් බොරු කිව්වා.
Tom lies.,ටොම් බොරු.
Tom lost.,ටොම් නැති විය.
Tom paid.,ටොම් ගෙවා ඇත.
Tom quit.,ටොම් ඉවත්ව ගියේය.
Tom swam.,ටොම් පිහිනීම.
Tom wept.,ටොම් හැප්.
Tom's up.,ටොම් ඉවරයි.
Too late.,ඕනෑවට වඩා පරක්කුයි.
Trust me.,මාව විශ්වාස කරන්න.
Try hard.,තදින් උත්සාහ කරන්න.
Try some.,සමහරක් උත්සාහ කරන්න.
Try this.,මේක උත්සාහ කරන්න.
Use this.,මෙය භාවිතා කරන්න.
Warn Tom.,ටොම්ට අනතුරු ඇඟවීම.
Watch me.,මාව බලන්න.
Watch us.,අපිව නරඹන්න.
We agree.,අපි එකඟයි.
We tried.,අපි උත්සාහ කළා.
We'll go.,අපි යමු.
We're OK.,අපි හොඳින්.
What for?,කුමක් සඳහා ද?
What fun!,මොනතරම් විනෝදයක්ද!
Who am I?,මම කවුද?
Who came?,කවුද ආවේ?
Who died?,මැරුණේ කවුද?
Who fell?,කඩා වැටුණේ කවුද?
Who quit?,ඉවත්ව යන අය?
Who swam?,කවුද පිහිනන්නේ?
Who's he?,ඔහු කව්ද?
Write me.,මට ලියන්න.
After you.,ඔබට පසුව.
Aim. Fire!,ඉලක්කය.ගිනි!
Answer me.,මට පිළිතුරු දෙන්න.
Birds fly.,කුරුල්ලන් පියාසර කරයි.
Bless you.,ඔබට සෙත් වේවා.
Call home!,ගෙදර අමතන්න!
Calm down.,සන්සුන් වන්න.
Can we go?,අපට යන්න පුළුවන් ද?
Catch Tom.,ටොම් අල්ලා ගන්න.
Catch him.,ඔහුව අල්ලා ගන්න.
Come back.,ආපසු එන්න.
Come here.,මෙහේ එන්න.
Come home.,ගෙදර එන්න.
Come over.,කම් ඕවර්.
Come soon.,ඉක්මනට එන්න.
Do it now.,දැන්ම කරන්න.
Dogs bark.,බල්ලන් පොතු.
Don't ask.,අහන්න එපා.
Don't cry.,අ .න්න එපා.
Don't lie.,බොරු කියන්න එපා.
Don't run.,දුවන්න එපා.
Fantastic!,අපූරු!
Feel this.,මෙය දැනෙන්න.
Follow me.,මාව අනුගමනය කරන්න.
Follow us.,අපිව අනුගමනය කරන්න.
Forget it.,එය අමතක කරන්න.
Forget me.,මාව අමතක කරන්න.
Get ready.,සුදානම් වන්න.
Go for it.,එය කරන්න.
Go get it.,යන්න ඒක ගන්න.
Go inside.,ඇතුලට යන්න.
Go to bed.,ඇඳට යන්න.
Grab that.,එය අල්ලා ගන්න.
Grab this.,මේක අල්ලගන්න.
Have some.,ටිකක් තියෙනවා.
He is old.,ඔහු මහලු වේ.
He shaved.,ඔහු රැවුල කපලා.
He smiled.,ඔහු සිනාසුණේය.
He's a DJ.,ඔහු ඩී.ජේ.
He's fast.,ඔහු වේගවත්.
He's good.,ඔහු හොඳයි.
He's rich.,ඔහු පොහොසත්.
Here I am.,මේ මම ඉන්නේ.
Hold this.,මෙය අල්ලා ගන්න.
How awful!,කෙතරම් භයානකද!
How weird!,අමුතුයි!
How's Tom?,කොහොමද ටොම්?
Humor Tom.,හාස්ය ටොම්.
I am busy.,මම කාර්ය බහුලයි.
I am full.,මම සම්පුර්ණයෙන්ම සිටිමි.
I am good.,මම හොඳින්.
I am here.,මම ඉන්නේ මෙහෙ.
I am sick.,මට එපා වෙලා.
I am weak.,මම දුර්වලයි.
I beg you.,මම ඔයාගෙන් අයදිනවා.
I can fly.,මට ඉගිලෙන්න පුළුවන්.
I can run.,මට දුවන්න පුළුවන්.
I can ski.,මට ස්කී කරන්න පුළුවන්.
I cringed.,මම කෑගැසුවෙමි.
I fainted.,මට සිහිනැති වුනා.
I gave up.,මම අත්හැරියා.
I get you.,මම ඔයාව ගන්නවා.
I got hit.,මට ගැහුවා.
I hate it.,මම එකාට වෛර කරනවා.
I hit Tom.,මම ටොම්ට පහර දුන්නා.
I hope so.,මම එසේ බලාපොරොත්තු වෙනවා.
I knew it.,මම එය දැනගත්තා.
I laughed.,මම හිනා වුණා.
I like it.,මම එයට කැමතියි.
I love it!,මම එයට කැමතියි!
I love it.,මම එයට කැමතියි.
I mean it!,මම අදහස් කළේ එයයි!
I mean it.,මම අදහස් කළේ එයයි.
I miss it.,මට එය මග හැරී ඇත.
I need it.,මට එය අවශ්යයයි.
I saw Tom.,මම ටොම්ව දැක්කා.
I saw him.,මම ඔහුව දැක්කා.
I saw one.,මම එකක් දැක්කා.
I saw you.,මම ඔයාව දැක්කා.
I see Tom.,මම ටොම් දකිමි.
I tripped.,මම තල්ලු කළා.
I'll cook.,මම උයන්නම්.
I'll live.,මම ජීවත් වෙමි.
I'll sing.,මම ගායනා කරන්නම්.
I'll stop.,මම නවත්වන්නම්.
I'll wait.,මම බලා ඉන්නම්.
I'll walk.,මම ඇවිදින්නම්.
I'll work.,මම වැඩ කරන්නම්.
I'm a man.,මම මිනිහෙක්.
I'm a pro.,මම ගැති කෙනෙක්.
I'm alone.,මම තනියමයි.
I'm angry.,මම තරහින්.
I'm awake.,මම අවදියෙන් සිටිමි.
I'm blind.,මම අන්ධයි.
I'm broke.,මම කැඩිලා.
I'm crazy.,මට පිස්සු.
I'm drunk.,මම බීමත්ව සිටිමි.
I'm dying.,මම මැරෙනවා.
I'm first.,මම මුලින්ම.
I'm happy.,මට සතුටුයි.
I'm loved.,මට ආදරෙයි.
I'm obese.,මම තරබාරුයි.
I'm ready.,මම සුදානම්.
I'm sorry.,මට කණගාටුයි.
I'm tired.,මට මහන්සියි.
I'm yours.,මම ඔයාගේය.
I've lost.,මට අහිමි විය.
Ignore it.,එය නොසලකා හරින්න.
Is Tom OK?,ටොම් හරිද?
Is Tom in?,ටොම්?
Is it bad?,එය නරකද?
Is it far?,එය දුරද?
Is it you?,එය ඔබද?
It burned.,එය පිළිස්සී ඇත.
It failed.,එය අසාර්ථක විය.
It is new.,එය අලුත් ය.
It rained.,එය වැස්ස.
It snowed.,එය හිම පතනය.
It stinks.,එය ගඳයි.
It worked.,එය ක්රියාත්මක විය.
It's 3:10.,එය 3:10.
It's 8:30.,එය 8:30.
It's a TV.,එය රූපවාහිනියකි.
It's cold.,සීතලය.
It's cool.,එය හොඳයි.
It's dark.,එය අඳුරු ය.
It's done!,එය සිදු කර ඇත!
It's fine.,ඒක හොඳයි.
It's good.,එය හොඳයි.
It's here.,ඒක මෙතන.
It's hers.,ඒ ඇයගේ.
It's late.,එය ප්රමාදය.
It's mine.,එය මගේ.
It's nice.,ඒක හොඳයි.
It's okay.,ඒකට කමක් නැහැ.
It's ours.,ඒ අපේ.
It's over.,එය හමාරයි.
It's time.,වෙලාව හරි.
It's true!,එය ඇත්තයි!
It's true.,එය ඇත්තයි.
It's work.,එය වැඩකි.
Keep them.,ඒවා තබා ගන්න.
Keep this.,මෙය තබා ගන්න.
Keep warm.,උණුසුම්ව තබා ගන්න.
Leave Tom.,ටොම්වෙන් යන්න.
Leave now.,දැන්ම යන්න.
Let me go!,මට යන්න දෙන්න!
Let me go.,මට යන්න දෙන්න.
Let me in.,මට ඇතුලට යන්න දෙන්න.
Let us in.,අපි ඇතුලට ගේන්න.
Let's eat.,අපි කමු.
Let's see.,අපි බලමු.
Let's try!,අපි උත්සාහ කරමු!
Lie still.,තවමත් බොරු කියන්න.
Listen up.,ඇහුම්කන් දෙන්න.
Look away.,අහක බලන්න.
Look back!,ආපසු බලන්න!
Look back.,ආපසු බලන්න.
Look here.,මෙහෙ බලන්න.
Loosen it.,එය ලිහිල් කරන්න.
Move over.,ඉහළට යන්න.
Nice shot!,කදිම පහරක්!
Of course!,ඇත්ත වශයෙන්!
Open fire!,විවෘත ගින්නක්!
Pardon me?,මට සමාවෙන්න?
Please go.,කරුණාකර යන්න.
Put it on.,එය පැළඳ ගන්න.
Read this.,මේක කියවන්න.
Say hello.,හෙලෝ කියන්න.
Search me.,මාව සොයන්න.
See above.,ඉහළ බලන්න.
Seize him!,ඔහුව අල්ලා ගන්න!
Seriously?,බරපතල ලෙස?
She tried.,ඇය උත්සාහ කළා.
She walks.,ඇය ඇවිදින.
She's hot.,ඇය උණුසුම්.
Sign here.,මෙතන අත්සන් කරන්න.
Sign this.,මෙය අත්සන් කරන්න.
Sit still.,නිශ්චලව වාඩි වන්න.
Sit there.,එහි හිඳගන්න.
Sit tight.,තදින් වාඩි වන්න.
Slow down.,වේගය අඩු කරන්න.
Stay away.,ඈත් වෙලා ඉන්න.
Stay calm.,සන්සුන්ව සිටින්න.
Stay here.,මෙතන ඉන්න.
Step back.,ආපසු යන්න.
Stop here.,මෙතන නවත්වන්න.
Stop that.,ඒක නවත්වන්න.
Stop them.,ඒවා නවත්වන්න.
Take care!,ප්රවේසම් වන්න!
Take care.,ප්රවේසම් වන්න.
Take mine.,මගේ ගන්න.
Take over.,භාරගන්ක.
Take this.,මේක ගන්න.
Thank you.,ඔයාට ස්තූතියි.
That's it.,ඒක තමයි.
That's me.,ඒ මමයි.
Then what?,එහෙනම් මොකක්ද?
They fell.,ඔවුන් වැටුණා.
They left.,ඔවුන් ගියා.
They lost.,ඔවුන් පැරදුනා.
Tom bowed.,ටොම් හිස නමා.
Tom cared.,ටොම් සැලකිලිමත්.
Tom cares.,ටොම් සැලකිලිමත් වේ.
Tom cried.,ටොම් කෑගැසුවා.
Tom dozed.,ටොම් ඩිස්.
Tom drove.,ටොම් පැදවීම.
Tom is OK.,ටොම් හරි.
Tom is in.,ටොම් ඉන්නේ.
Tom is up.,ටොම් ඉවරයි.
Tom knits.,ටොම් ගෙල.
Tom knows.,ටොම් දන්නවා.
Tom moved.,ටොම් චලනය විය.
Tom rocks.,ටොම් පාෂාණ.
Tom stood.,ටොම් සිටගෙන.
Tom swims.,ටොම් පිහිනීම.
Tom swore.,ටොම් දිවුරුම් දුන්නා.
Tom tried.,ටොම් උත්සාහ කළා.
Tom tries.,ටොම් උත්සාහ කරයි.
Tom voted.,ටොම් ඡන්දය දුන්නා.
Tom walks.,ටොම් ඇවිදීම.
Tom waved.,ටොම් වල්.
Tom works.,ටොම් වැඩ.
Tom'll go.,ටොම් යනු ඇත.
Tom's fat.,ටොම්ගේ මේදය.
Tom's mad.,ටොම්ගේ පිස්සු.
Tom's sad.,ටොම්ගේ දුකයි.
Tom's shy.,ටොම්ගේ ලැජ්ජාශීලී.
Trust Tom.,TOM TOM.
Try again.,නැවත උත්සාහ කරන්න.
Try it on.,එය උත්සාහ කරන්න.
Wait here.,මෙතන ඉන්න.
Watch Tom.,ටොම් නරඹන්න.
Watch out!,පරිස්සමෙන්!
We can go.,අපිට යන්න පුළුවන්.
We failed.,අපි අසමත් වුණා.
We forgot.,අපට අමතක විය.
We saw it.,අපි ඒක දැක්කා.
We talked.,අපි කතා කළා.
We waited.,අපි බලා සිටියෙමු.
We'll see.,අපි බලමු.
We'll try.,අපි උත්සාහ කරමු.
We've won!,අපි දිනුවා!
What's up?,මොකක් ද වෙන්නේ?
Who cares?,ගණන් ගන්නේ කව්ද?
Who is he?,ඔහු කව්ද?
Who is it?,ඌ කව් ද?
Who knows?,කව්ද දන්නේ?
Who stood?,කවුද හිටියේ?
Who'll go?,කවුද යන්නේ?
Who's Tom?,කවුද ටොම්?
Write Tom.,ටොම් ලියන්න.
You drive.,ඔබ ධාවනය කරන්න.
You start.,ඔබ ආරම්භ කරන්න.
You tried.,ඔබ උත්සාහ කළා.
You're OK.,ඔයා හොඳින්.
Aim higher.,උපරිම ඉලක්කයක්.
All aboard!,ඔක්කොම නැවට!
Am I right?,මම හරිද?
Am I wrong?,මම වැරදිද?
Answer Tom.,ටෙම්ට පිළිතුරු දෙන්න.
Are you 18?,ඔබ 18 ද?
Are you OK?,ඔයාට හොඳයි ද?
Are you in?,ඔබ සිටිනවාද?
Are you up?,ඔබ වේ?
Ask anyone.,ඕනෑම කෙනෙකුට අහන්න.
Ask around.,අවට අහන්න.
Be careful.,ප්රවේසම් වන්න.
Be content.,සෑහීමකට පත්වෙන්න.
Be on time.,නියමිත වේලාවට සිටින්න.
Be patient.,ඉක්මන් නොවන්න.
Be serious.,බරපතල වන්න.
Birds sing.,කුරුල්ලන් ගායනා කරති.
Bring food.,ආහාර ගෙනෙන්න.
Bring help.,උදව් ගෙනෙන්න.
Bring wine.,වයින් ගෙනෙන්න.
Can I come?,මට එන්න පුළුවන්ද?
Can I help?,මම උදව් කරන්නද?
Can I stay?,මට රැඳී සිටිය හැකිද?
Carry this.,මෙය රැගෙන යන්න.
Check that.,එය පරීක්ෂා කරන්න.
Check this.,මෙය පරීක්ෂා කරන්න.
Choose one.,එකක් තෝරන්න.
Come again.,නැවත එන්න.
Come alone.,තනිවම එන්න.
Come along.,ඉදිරියට එන්න.
Come early.,වේලාසනින් එන්න.
Come on in!,ඇතුලට එන්න!
Come on in.,ඇතුලට එන්න.
Come quick!,ඉක්මන් එන්න!
Come to me.,මා වෙත එන්න.
Come to us.,අප වෙත පැමිණෙන.
Cut it out!,එය කපා දමන්න!
Did Tom go?,ටොම් ගියාද?
Do come in!,ඇතුලට එන්න!
Do come in.,ඇතුලට එන්න.
Do men cry?,මිනිසුන් අ cry නකම් කරනවාද?
Don't come.,එන්න එපා.
Don't jump!,පනින්න එපා!
Don't look.,බලන්න එපා.
Don't move!,යන්න එපා!
Don't move.,චලනය නොවන්න.
Don't sing.,ගායනා කරන්න එපා.
Don't stop.,නවත්වන්න එපා.
Don't talk!,කතා කරන්න එපා!
Don't talk.,කතා කරන්න එපා.
Don't wait.,ඉන්න එපා.
Don't yell.,කෑගහන්න එපා.
Eat slowly.,සෙමින් කන්න.
Fire burns.,ගිනි පිලිස්සුම්.
Follow Tom.,ටොම් අනුගමනය කරන්න.
Follow him.,ඔහුව අනුගමනය කරන්න.
Forget Tom.,ටොම් අමතක කරන්න.
Forget him.,ඔහුව අමතක කරන්න.
Forgive us.,අපට සමාව දෙන්න.
Get a life.,ජීවිතයක් ලබා ගන්න.
Get inside.,ඇතුලට එන්න.
Get to bed.,නින්දට යන්න.
Give it up.,එය අත්හරින්න.
Go on home.,ගෙදර යන්න.
Go see Tom.,ටොම් බලන්න.
Go to work.,වැඩට යන්න.
God exists.,දෙවියන් සිටී.
Have faith.,විශ්වාසය තබන්න.
He ate out.,ඔහු කෑවා.
He coughed.,ඔහු කැණීම.
He gave in.,ඔහු ලබා දුන්නා.
He gave up.,ඔහු අත්හැරියා.
He hung up.,ඔහු එල්ලී සිටියේය.
He is a DJ.,ඔහු ඩී.ජේ.
He is here!,ඔහු මෙහෙ!
He is kind.,ඔහු කරුණාවන්තයි.
He is mean.,ඔහු නපුරුයි.
He is tall.,ඔහු උසයි.
He laughed.,ඔහු හිනාවුනා.
He made it.,ඔහු එය සෑදුවේය.
He's broke.,ඔහු කැඩුවා.
He's cruel.,ඔහු කුරිරුයි.
He's lying.,ඔහු බොරු කියනවා.
He's smart.,ඔහු දක්ෂයි.
Here he is!,මෙන්න ඔහු!
Here it is.,මේ තියෙන්නේ.
Here we go.,මෙන්න අපි යනවා.
"Hey, relax.","හේයි, සන්සුන් වන්න."
Hold still.,නිශ්චලව සිටින්න.
How boring!,කොහොමද කම්මැලි!
How is Tom?,ටොම් කොහොමද?
How lovely!,කෙතරම් සුන්දරද!
How tragic!,කෙතරම් ඛේදජනකද!
How's work?,වැඩ කටයුතු කොහොමද?
Hurry home.,ගෙදර යන්න.
I admit it.,මම එය පිළිගන්නවා.
I am a man.,මම මිනිසෙක්.
I am bored.,මට එපා වෙලා.
I am happy.,මම සතුටින්.
I am human.,මම මනුෂ්යයෙක්.
I am ready.,මම සුදානම්.
I am tired.,මට මහන්සියි.
I broke it.,මම ඒක කඩ කළා.
I can help.,මට පුළුවන් උදව් කරන්න.
I can jump.,මට පනින්න පුළුවන්.
I can read.,මට කියවිය හැකිය.
I can sing.,මට ගායනා කරන්න පුළුවන්.
I can swim.,මට පුළුවන් පීනන්න.
I chuckled.,මම කුරිරු වුණා.
I disagree.,මම එකඟවෙන්නේ නැහැ.
I doubt it.,මම එය සැක කළා.
I eat here.,මම මෙතන කනවා.
I eat meat.,මම මස් කනවා.
I envy Tom.,මම ටොම් කැමතියි.
I envy him.,මම ඔහුට ඊර්ෂ්යා කරමි.
I feel bad.,මට නරකක් දැනෙනවා.
I feel old.,මට මහලු බවක් දැනෙනවා.
I felt bad.,මට නරකක් දැනුණා.
I found it.,මම ඒක හොයාගත්තා.
I got lost.,මට අහිමි විය.
I got sick.,මම අසනීප වුණා.
I hate Tom.,මම ටොම්ට වෛර කරනවා.
I hate you.,මම උඹට වෛර කරනවා.
I have one.,මට එකක් තියෙනවා.
I have won.,මම දිනුවා.
I hear you.,මට ඔයාව ඇහෙනවා.
I help him.,මම ඔහුට උදව් කරනවා.
I knew Tom.,මම ටොම් දන්නවා.
I know Tom.,මම දන්නවා ටොම්.
I know her.,මම ඇයව දන්නවා.
I know him.,මම ඔහුව දන්නවා.
I know now.,මම දැන් දන්නවා.
I like Tom.,මම ටොම් වලට කැමතියි.
I like art.,මම කලාවට කැමතියි.
I like him.,මම ඔහුට කැමතියි.
I like tea.,මම තේ වලට කැමතියි.
I like you.,මම ඔයාට කැමතියි.
I liked it.,මම එයට කැමතියි.
I love Tom.,මම ටොම්ට ආදරෙයි.
I love him.,මම ඔහුට ආදරෙයි.
I love you.,මම ඔයාට ආදරෙයි.
I loved it.,මම එයට ආදරය කළා.
I miss Tom.,මට ටොම් නැතුව පාලුයි.
I miss him.,මට ඒයාව දැනෙනවා.
I miss you.,මට ඔයාව දැනෙනවා.
I must run.,මම දුවන්න ඕන.
I need Tom.,මට ටොම් අවශ්යයි.
I need ice.,මට අයිස් අවශ්යයි.
I promised.,මම පොරොන්දු වුනා.
I ran home.,මම ගෙදර දිව්වා.
I remember.,මට මතකයි.
I resigned.,මම ඉල්ලා අස් වුණා.
I said yes.,මම ඔව් කිව්ව.
I sat down.,මම හිඳගත්තා.
I saw that.,මම ඒක දැක්ක.
I screamed.,මම කෑගැසුවෙමි.
I see them.,මම ඔවුන්ව දකිනවා.
I shot Tom.,මම ටම්ට වෙඩි තැබුවා.
I survived.,මම බේරුණා.
I think so.,මම එසේ සිතනවා.
I threw up.,මම ඉහළට විසි කළා.
I told Tom.,මම ටොම්ට කිව්වා.
I use this.,මම මෙය භාවිතා කරමි.
I want Tom.,මට ටොම් අවශ්යයි.
